S1L_low,S1L_high,N_ER_DP,N_ER_DP_err,N_NR_DP,N_NR_DP_err,N_ER_Neutron,N_ER_Neutron_err,N_NR_Neutron,N_NR_Neutron_err
0.0,10.0,5583.387338756058,75.29961948639257,61.50935400899393,12.167609954226068,917.220814855317,30.755219925792712,96.66637119708842,11.182739291321626
10.0,20.0,92637.25529079513,304.67529668002027,495.40477877116405,26.181896435973194,12996.112196898277,114.56563534447379,811.1229284359099,30.663900503048065
20.0,30.0,325793.17786561674,570.9213988096584,213.5489516139144,19.2649019370565,40546.09246456655,202.19228114168433,2179.8429212758447,50.15402063566462
30.0,40.0,652358.7993867683,807.6815429423996,86.84631595562541,10.148481854059186,81104.15740833001,284.9603217198384,2168.9617616988303,47.62046450896679
40.0,50.0,965830.2196482645,982.7682353300692,44.94611431439199,7.1697392048685735,121264.4036283299,348.34730224064333,2267.601341950339,48.43588210775501
50.0,60.0,1210269.247689452,1100.1238704956509,45.51097554200412,6.931170786204103,153614.3859643294,391.98080121699894,2097.1928366501825,46.175726097166844
60.0,70.0,1394114.225881359,1180.7276866684347,45.929871040218394,6.842530576449552,179836.89737832634,424.0909658898537,1852.6156283792998,43.230710021707125
70.0,80.0,1533169.1504860076,1238.2567494862749,33.87165294061967,5.875930661081913,201698.50659356723,449.1280162852548,1596.1304238866169,40.16377233864688
80.0,90.0,1640466.1499613062,1280.8096422835958,28.581552384714936,5.399939261900334,219647.15782952687,468.68405700416133,1448.531392163918,38.25201706974837
90.0,100.0,1723768.149596729,1312.9150714384905,17.458846819452532,4.231653313120296,236158.42411849502,485.9754922648857,1303.3286477963102,36.28436412312847